Nomor,Lambda,Abs 1,Trans 1,Abs 2,Trans 2,Abs 3,Trans 3
222,579.0,0.203,0.6266138646723354,0.147,0.7128530301265196,0.202,0.628058358813318
223,578.0,0.197,0.6353309318517437,0.142,0.7211074791828996,0.197,0.6353309318517437
224,577.0,0.192,0.6426877173170197,0.138,0.727779804536824,0.192,0.6426877173170197
225,576.0,0.186,0.6516283940608427,0.133,0.7362070974947361,0.187,0.6501296903430906
226,575.0,0.181,0.6591738952443214,0.129,0.7430191378967014,0.183,0.6561452663029054
227,574.0,0.176,0.6668067692136221,0.125,0.7498942093324559,0.178,0.6637430704019088
228,573.0,0.172,0.6729766562843178,0.121,0.7568328950209744,0.174,0.6698846094165264
229,572.0,0.167,0.6807693586937414,0.117,0.7638357835776907,0.17,0.6760829753919817
230,571.0,0.162,0.688652296344276,0.114,0.7691304402866096,0.166,0.6823386941416696
231,570.0,0.158,0.6950243175887968,0.111,0.7744617978025188,0.162,0.688652296344276
232,569.0,0.154,0.7014552984199712,0.107,0.7816278045883296,0.158,0.6950243175887968
233,568.0,0.15,0.7079457843841379,0.104,0.7870457896950986,0.154,0.7014552984199712
234,567.0,0.146,0.7144963260755134,0.1,0.7943282347242815,0.151,0.7063175542629619
235,566.0,0.142,0.7211074791828996,0.097,0.7998342550070284,0.147,0.7128530301265196
236,565.0,0.138,0.727779804536824,0.095,0.8035261221856173,0.144,0.7177942912713617
237,564.0,0.135,0.732824533138904,0.092,0.8090958991783823,0.14,0.72443596007499
238,563.0,0.13,0.7413102413009175,0.089,0.8147042840208396,0.137,0.7294575102545687
239,562.0,0.127,0.7464487584100665,0.086,0.8203515443298183,0.134,0.734513868157115
240,561.0,0.123,0.7533555637337174,0.083,0.8260379495771787,0.13,0.7413102413009175
241,560.0,0.12,0.7585775750291838,0.081,0.8298507675144224,0.127,0.7464487584100665
242,559.0,0.116,0.7655966069112563,0.078,0.835603018231248,0.124,0.7516228940182055
243,558.0,0.112,0.7726805850957024,0.075,0.8413951416451951,0.12,0.7585775750291838
244,557.0,0.109,0.7780365510398041,0.072,0.8472274141405964,0.117,0.7638357835776907
245,556.0,0.106,0.7834296427662117,0.07,0.8511380382023764,0.114,0.7691304402866096
246,555.0,0.102,0.7906786279998251,0.068,0.8550667128846833,0.111,0.7744617978025188
247,554.0,0.099,0.7961593504173188,0.065,0.8609937521846006,0.108,0.7798301105232587
248,553.0,0.096,0.8016780633876791,0.062,0.8669618757582166,0.105,0.7852356346100718
249,552.0,0.093,0.8072350302488381,0.06,0.8709635899560807,0.102,0.7906786279998251
250,551.0,0.09,0.8128305161640993,0.058,0.8749837752274361,0.099,0.7961593504173188
251,550.0,0.087,0.8184647881347898,0.056,0.8790225168308843,0.096,0.8016780633876791
252,549.0,0.084,0.8241381150130023,0.053,0.8851156098308355,0.094,0.8053784411990667
253,548.0,0.082,0.8279421637123342,0.052,0.8871560120379609,0.091,0.8109610578538408
254,547.0,0.079,0.8336811846196344,0.05,0.8912509381337456,0.089,0.8147042840208396
255,546.0,0.076,0.8394599865193975,0.048,0.8953647655495938,0.086,0.8203515443298183
256,545.0,0.074,0.8433347577642754,0.045,0.9015711376059569,0.084,0.8241381150130023
257,544.0,0.072,0.8472274141405964,0.044,0.9036494737223014,0.081,0.8298507675144224
258,543.0,0.069,0.8531001140175895,0.042,0.9078205301781858,0.079,0.8336811846196344
259,542.0,0.067,0.8570378452303696,0.04,0.9120108393559098,0.077,0.8375292821268826
260,541.0,0.065,0.8609937521846006,0.038,0.9162204901219998,0.075,0.8413951416451951
261,540.0,0.063,0.8649679187756932,0.037,0.9183325964835809,0.074,0.8433347577642754
262,539.0,0.061,0.8689604292863018,0.036,0.9204495717531713,0.072,0.8472274141405964
263,538.0,0.06,0.8709635899560807,0.035,0.9225714271547631,0.07,0.8511380382023764
264,537.0,0.058,0.8749837752274361,0.034,0.9246981739382225,0.068,0.8550667128846833
265,536.0,0.056,0.8790225168308843,0.032,0.9289663867799364,0.067,0.8570378452303696
266,535.0,0.055,0.881048873008014,0.031,0.9311078754678304,0.065,0.8609937521846006
267,534.0,0.053,0.8851156098308355,0.029,0.9354056741475519,0.064,0.8629785477669702
268,533.0,0.052,0.8871560120379609,0.028,0.9375620069258802,0.062,0.8669618757582166
269,532.0,0.051,0.8892011178579484,0.027,0.9397233105646379,0.061,0.8689604292863018
